,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,MM Ali,2015-2022,16,13,4,263,61,29.22,176,149.43,0,3,2,21,14
1,JC Archer,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
2,JM Bairstow,2012-2021,9,9,2,160,60*,22.85,128,125.00,0,1,1,12,5
3,T Banton,2020-2020,3,3,0,137,71,45.66,89,153.93,0,1,0,12,6
4,SW Billings,2015-2020,6,6,1,110,53,22.00,76,144.73,0,1,0,10,4
5,HC Brook,2022-2022,7,6,3,238,81*,79.33,146,163.01,0,1,0,19,13
6,JC Buttler,2012-2021,8,8,0,148,59,18.50,126,117.46,0,1,0,14,5
7,SM Curran,2022-2022,6,2,1,27,17,27.00,19,142.10,0,0,0,2,0
8,TK Curran,2019-2021,6,3,1,18,9,9.00,14,128.57,0,0,0,1,1
9,LA Dawson,2022-2022,3,1,0,34,34,34.00,17,200.00,0,0,0,5,1
10,JL Denly,2010-2019,3,3,1,26,20*,13.00,25,104.00,0,0,0,2,1
11,BM Duckett,2019-2022,8,8,2,242,70*,40.33,153,158.16,0,1,0,32,2
12,BT Foakes,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
13,RJ Gleeson,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
14,L Gregory,2020-2021,4,4,1,24,12,8.00,22,109.09,0,0,0,2,0
15,AD Hales,2015-2022,9,9,0,186,53,20.66,138,134.78,0,1,0,25,2
16,WG Jacks,2022-2022,2,2,0,40,40,20.00,25,160.00,0,0,1,8,0
17,CJ Jordan,2015-2021,9,5,3,21,14,10.50,15,140.00,0,0,0,1,1
18,LS Livingstone,2021-2021,3,3,0,147,103,49.00,68,216.17,1,0,0,8,13
19,S Mahmood,2020-2021,6,2,2,3,3*,-,5,60.00,0,0,0,0,0
20,DJ Malan,2020-2022,12,12,2,291,78*,29.10,242,120.24,0,2,1,34,5
21,EJG Morgan,2010-2021,17,17,5,427,67*,35.58,308,138.63,0,3,0,36,17
22,MW Parkinson,2021-2021,2,2,0,5,5,2.50,6,83.33,0,0,1,1,0
23,AU Rashid,2009-2022,18,4,3,11,3*,11.00,12,91.66,0,0,0,0,0
24,JE Root,2015-2019,4,4,0,105,47,26.25,89,117.97,0,0,0,10,2
25,JJ Roy,2015-2021,7,7,0,165,64,23.57,102,161.76,0,1,1,19,8
26,PD Salt,2022-2022,7,7,1,167,88*,27.83,106,157.54,0,1,0,22,4
27,OP Stone,2022-2022,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
28,RJW Topley,2015-2022,5,1,0,0,0,0.00,3,0.00,0,0,1,0,0
29,JM Vince,2015-2019,4,4,0,161,46,40.25,132,121.96,0,0,0,15,5
30,DJ Willey,2015-2022,12,7,3,46,16,11.50,41,112.19,0,0,0,5,1
31,CR Woakes,2015-2022,4,3,1,62,37,31.00,43,144.18,0,0,0,4,3
32,L Wood,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
33,MA Wood,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
