,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,India,New Zealand,9 wickets,Christchurch,"Feb 21, 1976",ODI # 35
1,New Zealand,India,New Zealand,80 runs,Auckland,"Feb 22, 1976",ODI # 36
2,New Zealand,India,New Zealand,78 runs,Auckland,"Feb 14, 1981",ODI # 116
3,New Zealand,India,New Zealand,57 runs,Hamilton,"Feb 15, 1981",ODI # 117
4,New Zealand,India,New Zealand,108 runs,Dunedin,"Mar 1, 1990",ODI # 612
5,New Zealand,India,India,1 run,Wellington,"Mar 6, 1990",ODI # 616
6,New Zealand,India,New Zealand,4 wickets,Dunedin,"Mar 12, 1992",ODI # 740
7,New Zealand,India,New Zealand,28 runs,Napier,"Mar 25, 1994",ODI # 896
8,New Zealand,India,India,7 wickets,Auckland,"Mar 27, 1994",ODI # 897
9,New Zealand,India,India,12 runs,Wellington,"Mar 30, 1994",ODI # 898
10,New Zealand,India,New Zealand,6 wickets,Christchurch,"Apr 2, 1994",ODI # 899
11,New Zealand,India,New Zealand,4 wickets,Napier,"Feb 16, 1995",ODI # 976
12,New Zealand,India,New Zealand,5 wickets,Taupo,"Jan 9, 1999",ODI # 1378
13,New Zealand,India,India,2 wickets,Napier,"Jan 12, 1999",ODI # 1381
14,New Zealand,India,no result,,Wellington,"Jan 14, 1999",ODI # 1383
15,New Zealand,India,India,5 wickets,Auckland,"Jan 16, 1999",ODI # 1385
16,New Zealand,India,New Zealand,70 runs,Christchurch,"Jan 19, 1999",ODI # 1387
17,New Zealand,India,New Zealand,3 wickets,Auckland,"Dec 26, 2002",ODI # 1926
18,New Zealand,India,New Zealand,35 runs,Napier,"Dec 29, 2002",ODI # 1927
19,New Zealand,India,New Zealand,5 wickets,Christchurch,"Jan 1, 2003",ODI # 1928
20,New Zealand,India,New Zealand,7 wickets,Queenstown,"Jan 4, 2003",ODI # 1929
21,New Zealand,India,India,2 wickets,Wellington,"Jan 8, 2003",ODI # 1930
22,New Zealand,India,India,1 wicket,Auckland,"Jan 11, 2003",ODI # 1933
23,New Zealand,India,New Zealand,6 wickets,Hamilton,"Jan 14, 2003",ODI # 1935
24,New Zealand,India,India,53 runs,Napier,"Mar 3, 2009",ODI # 2821
25,New Zealand,India,no result,,Wellington,"Mar 6, 2009",ODI # 2822
26,New Zealand,India,India,58 runs,Christchurch,"Mar 8, 2009",ODI # 2823
27,New Zealand,India,India,84 runs,Hamilton,"Mar 11, 2009",ODI # 2824
28,New Zealand,India,New Zealand,8 wickets,Auckland,"Mar 14, 2009",ODI # 2825
29,New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014",ODI # 3456
30,New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014",ODI # 3458
31,New Zealand,India,tied,,Auckland,"Jan 25, 2014",ODI # 3462
32,New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014",ODI # 3465
33,New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014",ODI # 3467
34,New Zealand,India,India,8 wickets,Napier,"Jan 23, 2019",ODI # 4082
35,New Zealand,India,India,90 runs,Mount Maunganui,"Jan 26, 2019",ODI # 4085
36,New Zealand,India,India,7 wickets,Mount Maunganui,"Jan 28, 2019",ODI # 4088
37,New Zealand,India,New Zealand,8 wickets,Hamilton,"Jan 31, 2019",ODI # 4091
38,New Zealand,India,India,35 runs,Wellington,"Feb 3, 2019",ODI # 4092
39,New Zealand,India,New Zealand,4 wickets,Hamilton,"Feb 5, 2020",ODI # 4235
40,New Zealand,India,New Zealand,22 runs,Auckland,"Feb 8, 2020",ODI # 4239
41,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,"Feb 11, 2020",ODI # 4243
